numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
25,25,1,0.20,compare_to_percentile,10% start,250,3108,8.71,0.91,0.0000,0
25,25,1,0.20,compare_to_percentile,cold start,1574,19248,54.75,1.08,0.0165,0
25,25,1,0.20,all_rebid,10% start,250,5355,8.77,0.96,0.0283,0
25,25,1,0.20,all_rebid,cold start,1574,33390,54.35,1.07,0.0176,0
25,25,1,0.50,compare_to_percentile,10% start,250,3930,8.82,1.12,0.0283,0
25,25,1,0.50,compare_to_percentile,cold start,1574,23820,54.35,1.00,0.0110,0
25,25,1,0.50,all_rebid,10% start,250,7101,8.75,1.08,0.0400,0
25,25,1,0.50,all_rebid,cold start,1574,43254,54.68,1.16,0.0096,0
25,25,2,0.20,compare_to_percentile,10% start,250,3264,4.43,0.91,0.0400,0
25,25,2,0.20,compare_to_percentile,cold start,1574,19692,27.94,1.23,0.0143,0
25,25,2,0.20,all_rebid,10% start,250,5943,4.45,0.93,0.0283,0
25,25,2,0.20,all_rebid,cold start,1574,34293,27.79,1.01,0.0129,0
25,25,2,0.50,compare_to_percentile,10% start,250,4140,4.43,0.92,0.0000,0
25,25,2,0.50,compare_to_percentile,cold start,1574,24750,27.55,1.00,0.0122,0
25,25,2,0.50,all_rebid,10% start,250,7425,4.47,0.93,0.0000,0
25,25,2,0.50,all_rebid,cold start,1574,43713,27.87,1.11,0.0126,0
25,25,5,0.20,compare_to_percentile,10% start,250,4956,1.82,0.93,0.0283,0
25,25,5,0.20,compare_to_percentile,cold start,1574,22380,11.24,1.01,0.0140,0
25,25,5,0.20,all_rebid,10% start,250,6825,1.82,0.93,0.0283,0
25,25,5,0.20,all_rebid,cold start,1574,37401,11.34,0.95,0.0179,0
25,25,5,0.50,compare_to_percentile,10% start,250,7065,1.82,0.95,0.0283,0
25,25,5,0.50,compare_to_percentile,cold start,1574,31575,11.49,1.25,0.0173,0
25,25,5,0.50,all_rebid,10% start,250,10800,1.86,0.98,0.0400,0
25,25,5,0.50,all_rebid,cold start,1574,51219,11.39,1.06,0.0118,0
25,25,10,0.20,compare_to_percentile,10% start,250,11664,1.14,1.13,0.0400,0
25,25,10,0.20,compare_to_percentile,cold start,1574,33768,6.14,1.01,0.0118,0
25,25,10,0.20,all_rebid,10% start,250,16401,1.16,1.16,0.0400,0
25,25,10,0.20,all_rebid,cold start,1574,44541,6.44,1.36,0.0189,0
25,25,10,0.50,compare_to_percentile,10% start,250,19350,1.09,1.09,0.0283,0
25,25,10,0.50,compare_to_percentile,cold start,1574,43080,6.35,1.28,0.0091,0
25,25,10,0.50,all_rebid,10% start,250,18387,1.10,1.09,0.0490,0
25,25,10,0.50,all_rebid,cold start,1574,63821,6.38,1.23,0.0153,0
50,50,1,0.20,compare_to_percentile,10% start,500,6132,8.69,1.02,0.0400,0
50,50,1,0.20,compare_to_percentile,cold start,3150,38100,54.86,1.00,0.0119,0
50,50,1,0.20,all_rebid,10% start,500,10626,9.25,1.15,0.0283,0
50,50,1,0.20,all_rebid,cold start,3150,66570,54.91,1.12,0.0167,0
50,50,1,0.50,compare_to_percentile,10% start,500,13959,8.68,0.93,0.0200,0
50,50,1,0.50,compare_to_percentile,cold start,3150,86805,54.74,1.05,0.0065,0
50,50,1,0.50,all_rebid,10% start,500,25908,8.82,0.94,0.0200,0
50,50,1,0.50,all_rebid,cold start,3150,162129,54.89,1.25,0.0111,0
50,50,2,0.20,compare_to_percentile,10% start,500,6288,4.42,0.91,0.0400,0
50,50,2,0.20,compare_to_percentile,cold start,3150,38424,27.60,0.92,0.0136,0
50,50,2,0.20,all_rebid,10% start,500,10983,4.45,0.91,0.0346,0
50,50,2,0.20,all_rebid,cold start,3150,67305,27.70,1.00,0.0163,0
50,50,2,0.50,compare_to_percentile,10% start,500,14850,4.46,0.92,0.0346,0
50,50,2,0.50,compare_to_percentile,cold start,3150,91179,27.77,1.11,0.0119,0
50,50,2,0.50,all_rebid,10% start,500,27336,4.43,0.92,0.0200,0
50,50,2,0.50,all_rebid,cold start,3150,169167,28.00,1.13,0.0125,0
50,50,5,0.20,compare_to_percentile,10% start,500,7320,1.81,0.93,0.0346,0
50,50,5,0.20,compare_to_percentile,cold start,3150,42120,11.48,1.10,0.0137,0
50,50,5,0.20,all_rebid,10% start,500,12831,1.91,1.09,0.0283,0
50,50,5,0.20,all_rebid,cold start,3150,71778,11.31,1.04,0.0151,0
50,50,5,0.50,compare_to_percentile,10% start,500,31401,1.95,1.07,0.0200,0
50,50,5,0.50,compare_to_percentile,cold start,3150,101196,11.34,1.11,0.0104,0
50,50,5,0.50,all_rebid,10% start,500,40902,1.96,1.09,0.0283,0
50,50,5,0.50,all_rebid,cold start,3150,187727,11.40,1.11,0.0121,0
50,50,10,0.20,compare_to_percentile,10% start,500,16548,0.98,0.98,0.0400,0
50,50,10,0.20,compare_to_percentile,cold start,3150,51588,6.07,0.98,0.0125,0
50,50,10,0.20,all_rebid,10% start,500,24234,1.05,1.05,0.0490,0
50,50,10,0.20,all_rebid,cold start,3150,87965,7.53,2.88,0.0171,-2
50,50,10,0.50,compare_to_percentile,10% start,500,71202,1.38,1.37,0.0346,0
50,50,10,0.50,compare_to_percentile,cold start,3150,134190,6.33,1.27,0.0129,0
50,50,10,0.50,all_rebid,10% start,500,92871,1.48,1.47,0.0346,0
50,50,10,0.50,all_rebid,cold start,3150,254972,6.42,1.56,0.0097,0
100,100,1,0.20,compare_to_percentile,10% start,1000,22506,8.91,1.06,0.0141,0
100,100,1,0.20,compare_to_percentile,cold start,6300,140250,54.51,1.08,0.0170,0
100,100,1,0.20,all_rebid,10% start,1000,41738,8.89,0.93,0.0245,0
100,100,1,0.20,all_rebid,cold start,6300,261662,54.95,1.12,0.0129,0
100,100,1,0.50,compare_to_percentile,10% start,1000,52832,8.86,1.03,0.0200,0
100,100,1,0.50,compare_to_percentile,cold start,6300,341118,54.78,1.09,0.0199,0
100,100,1,0.50,all_rebid,10% start,1000,102717,8.82,1.08,0.0141,0
100,100,1,0.50,all_rebid,cold start,6300,659075,55.29,1.21,0.0148,0
100,100,2,0.20,compare_to_percentile,10% start,1000,22836,4.43,0.92,0.0245,0
100,100,2,0.20,compare_to_percentile,cold start,6300,142582,27.71,0.97,0.0154,0
100,100,2,0.20,all_rebid,10% start,1000,42435,4.50,1.06,0.0245,0
100,100,2,0.20,all_rebid,cold start,6300,266787,27.81,1.09,0.0145,0
100,100,2,0.50,compare_to_percentile,10% start,1000,55796,4.52,0.93,0.0141,0
100,100,2,0.50,compare_to_percentile,cold start,6300,356553,29.37,2.78,0.0163,0
100,100,2,0.50,all_rebid,10% start,1000,116251,4.91,1.39,0.0000,0
100,100,2,0.50,all_rebid,cold start,6300,687608,28.28,1.44,0.0147,0
100,100,5,0.20,compare_to_percentile,10% start,1000,27148,1.96,1.04,0.0245,0
100,100,5,0.20,compare_to_percentile,cold start,6300,151448,11.34,1.09,0.0183,0
100,100,5,0.20,all_rebid,10% start,1000,50102,1.87,0.97,0.0283,0
100,100,5,0.20,all_rebid,cold start,6300,280809,11.43,1.13,0.0164,0
100,100,5,0.50,compare_to_percentile,10% start,1000,117728,2.17,1.28,0.0245,0
100,100,5,0.50,compare_to_percentile,cold start,6300,453803,11.63,1.23,0.0159,0
100,100,5,0.50,all_rebid,10% start,1000,152409,2.19,1.34,0.0245,0
100,100,5,0.50,all_rebid,cold start,6300,870166,12.09,1.53,0.0175,0
100,100,10,0.20,compare_to_percentile,10% start,1000,67232,1.19,1.19,0.0245,0
100,100,10,0.20,compare_to_percentile,cold start,6300,179806,6.17,1.29,0.0162,0
100,100,10,0.20,all_rebid,10% start,1000,89995,1.76,1.74,0.0346,0
100,100,10,0.20,all_rebid,cold start,6300,337979,6.42,1.30,0.0142,0
100,100,10,0.50,compare_to_percentile,10% start,1000,302639,2.33,2.31,0.0245,0
100,100,10,0.50,compare_to_percentile,cold start,6300,2106252,13.13,7.11,0.0177,-1
100,100,10,0.50,all_rebid,10% start,1000,382182,3.27,3.25,0.0447,0
100,100,10,0.50,all_rebid,cold start,6204,3581696,35.05,17.02,0.0167,0
150,150,1,0.20,compare_to_percentile,10% start,1495,58848,20.72,10.90,0.0231,0
150,150,1,0.20,compare_to_percentile,cold start,9421,307680,55.50,1.81,0.0164,0
150,150,1,0.20,all_rebid,10% start,1500,93025,8.97,1.11,0.0258,0
150,150,1,0.20,all_rebid,cold start,9450,591456,54.97,1.16,0.0164,0
150,150,1,0.50,compare_to_percentile,10% start,1500,117579,8.86,0.93,0.0163,0
150,150,1,0.50,compare_to_percentile,cold start,9450,764070,55.05,1.18,0.0156,0
150,150,1,0.50,all_rebid,10% start,1500,231634,9.01,1.12,0.0115,0
150,150,1,0.50,all_rebid,cold start,9450,1567369,57.62,2.77,0.0160,0
150,150,2,0.20,compare_to_percentile,10% start,1500,49600,4.56,1.03,0.0163,0
150,150,2,0.20,compare_to_percentile,cold start,9450,321440,27.86,1.11,0.0144,0
150,150,2,0.20,all_rebid,10% start,1500,96380,4.61,1.08,0.0283,0
150,150,2,0.20,all_rebid,cold start,9450,610133,28.07,1.21,0.0176,0
150,150,2,0.50,compare_to_percentile,10% start,1500,121044,4.59,1.05,0.0115,0
