numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
25,25,1,0.05,compare_to_percentile,10% start,250,3204,10.11,1.11,0.0041,0
25,25,1,0.05,compare_to_percentile,cold start,1574,19914,61.36,3.00,0.0129,0
25,25,1,0.05,compare_to_percentile,rolling deploy,200,2740,10.10,3.11,0.0074,0
25,25,1,0.05,all_rebid,10% start,250,5586,9.88,1.14,0.0039,0
25,25,1,0.05,all_rebid,cold start,1574,33894,60.12,1.15,0.0184,0
25,25,1,0.05,all_rebid,rolling deploy,200,4284,8.15,1.12,0.0074,0
25,25,1,0.10,compare_to_percentile,10% start,250,3228,9.89,1.16,0.0039,0
25,25,1,0.10,compare_to_percentile,cold start,1574,19702,61.55,2.65,0.0140,0
25,25,1,0.10,compare_to_percentile,rolling deploy,200,2436,7.93,1.08,0.0091,0
25,25,1,0.10,all_rebid,10% start,250,5397,10.02,1.14,0.0051,0
25,25,1,0.10,all_rebid,cold start,1574,34669,61.25,3.11,0.0173,0
25,25,1,0.10,all_rebid,rolling deploy,200,4263,8.14,1.16,0.0074,0
25,25,1,0.20,compare_to_percentile,10% start,250,3216,10.03,1.08,0.0030,0
25,25,1,0.20,compare_to_percentile,cold start,1574,19464,59.49,1.07,0.0156,0
25,25,1,0.20,compare_to_percentile,rolling deploy,200,2424,8.02,1.05,0.0091,0
25,25,1,0.20,all_rebid,10% start,250,6298,11.99,3.03,0.0039,0
25,25,1,0.20,all_rebid,cold start,1574,33810,59.44,1.11,0.0126,0
25,25,1,0.20,all_rebid,rolling deploy,200,4221,8.03,1.08,0.0000,0
25,25,2,0.05,compare_to_percentile,10% start,250,3936,5.28,1.21,0.0044,0
25,25,2,0.05,compare_to_percentile,cold start,1574,21288,32.62,1.36,0.0114,0
25,25,2,0.05,compare_to_percentile,rolling deploy,200,2556,4.21,1.09,0.0052,0
25,25,2,0.05,all_rebid,10% start,250,7488,7.54,3.28,0.0063,0
25,25,2,0.05,all_rebid,cold start,1574,35259,33.29,1.24,0.0133,0
25,25,2,0.05,all_rebid,rolling deploy,200,4431,4.42,1.17,0.0000,0
25,25,2,0.10,compare_to_percentile,10% start,250,3792,5.28,1.19,0.0031,0
25,25,2,0.10,compare_to_percentile,cold start,1574,22644,32.97,1.30,0.0147,0
25,25,2,0.10,compare_to_percentile,rolling deploy,200,2520,4.17,1.06,0.0052,0
25,25,2,0.10,all_rebid,10% start,250,6321,5.42,1.24,0.0050,0
25,25,2,0.10,all_rebid,cold start,1574,37960,35.25,3.27,0.0181,0
25,25,2,0.10,all_rebid,rolling deploy,200,4767,4.59,1.19,0.0105,0
25,25,2,0.20,compare_to_percentile,10% start,250,4080,5.43,1.22,0.0041,0
25,25,2,0.20,compare_to_percentile,cold start,1574,20952,32.68,1.21,0.0150,0
25,25,2,0.20,compare_to_percentile,rolling deploy,200,2832,4.36,1.32,0.0074,0
25,25,2,0.20,all_rebid,10% start,250,6594,5.58,1.37,0.0048,0
25,25,2,0.20,all_rebid,cold start,1574,34881,33.08,1.32,0.0162,0
25,25,2,0.20,all_rebid,rolling deploy,200,4389,4.32,1.15,0.0052,0
25,25,5,0.05,compare_to_percentile,10% start,250,7032,2.77,1.75,0.0045,0
25,25,5,0.05,compare_to_percentile,cold start,1574,35320,16.54,3.84,0.0176,0
25,25,5,0.05,compare_to_percentile,rolling deploy,200,3360,2.31,1.24,0.0052,0
25,25,5,0.05,all_rebid,10% start,250,9135,2.96,1.79,0.0045,0
25,25,5,0.05,all_rebid,cold start,1574,60846,20.89,9.06,0.0143,0
25,25,5,0.05,all_rebid,rolling deploy,200,5397,2.60,1.38,0.0074,0
25,25,5,0.10,compare_to_percentile,10% start,250,6704,2.89,1.88,0.0039,0
25,25,5,0.10,compare_to_percentile,cold start,1574,30454,14.42,1.70,0.0159,0
25,25,5,0.10,compare_to_percentile,rolling deploy,200,3864,2.56,1.45,0.0074,0
25,25,5,0.10,all_rebid,10% start,250,8820,2.99,1.73,0.0037,0
25,25,5,0.10,all_rebid,cold start,1574,66900,25.60,11.76,0.0147,0
25,25,5,0.10,all_rebid,rolling deploy,200,5040,2.42,1.43,0.0074,0
25,25,5,0.20,compare_to_percentile,10% start,250,7008,2.80,1.78,0.0022,0
25,25,5,0.20,compare_to_percentile,cold start,1574,28296,14.11,1.72,0.0156,0
25,25,5,0.20,compare_to_percentile,rolling deploy,200,3444,2.28,1.23,0.0052,0
25,25,5,0.20,all_rebid,10% start,250,9744,2.93,1.86,0.0039,0
25,25,5,0.20,all_rebid,cold start,1574,82295,32.79,20.81,0.0201,0
25,25,5,0.20,all_rebid,rolling deploy,200,5754,2.75,1.57,0.0074,0
50,50,1,0.05,compare_to_percentile,10% start,500,6468,10.25,1.16,0.0043,0
50,50,1,0.05,compare_to_percentile,cold start,3150,38796,59.94,1.09,0.0152,0
50,50,1,0.05,compare_to_percentile,rolling deploy,300,3660,6.14,1.08,0.0256,0
50,50,1,0.05,all_rebid,10% start,500,11756,11.99,3.25,0.0045,0
50,50,1,0.05,all_rebid,cold start,3150,68334,61.39,1.53,0.0161,0
50,50,1,0.05,all_rebid,rolling deploy,300,6426,6.33,1.20,0.0065,0
50,50,1,0.10,compare_to_percentile,10% start,500,6276,10.18,1.17,0.0048,0
50,50,1,0.10,compare_to_percentile,cold start,3150,38628,59.82,1.16,0.0157,0
50,50,1,0.10,compare_to_percentile,rolling deploy,300,3708,6.02,1.12,0.0119,0
50,50,1,0.10,all_rebid,10% start,500,12324,12.45,3.30,0.0035,0
50,50,1,0.10,all_rebid,cold start,3150,69027,60.78,1.35,0.0141,0
50,50,1,0.10,all_rebid,rolling deploy,300,6510,6.27,1.24,0.0107,0
50,50,1,0.20,compare_to_percentile,10% start,500,6336,9.99,1.13,0.0041,0
50,50,1,0.20,compare_to_percentile,cold start,3150,39527,62.03,3.21,0.0144,0
50,50,1,0.20,compare_to_percentile,rolling deploy,300,3624,6.11,1.06,0.0146,0
50,50,1,0.20,all_rebid,10% start,500,11088,10.40,1.33,0.0047,0
50,50,1,0.20,all_rebid,cold start,3150,69853,63.31,3.34,0.0183,0
50,50,1,0.20,all_rebid,rolling deploy,300,6342,6.20,1.12,0.0207,0
50,50,2,0.05,compare_to_percentile,10% start,500,7536,5.78,1.48,0.0044,0
50,50,2,0.05,compare_to_percentile,cold start,3150,42696,33.40,1.35,0.0149,0
50,50,2,0.05,compare_to_percentile,rolling deploy,300,4152,3.57,1.34,0.0065,0
50,50,2,0.05,all_rebid,10% start,500,12138,5.70,1.45,0.0045,0
50,50,2,0.05,all_rebid,cold start,3150,77213,36.71,4.01,0.0149,0
50,50,2,0.05,all_rebid,rolling deploy,300,6888,3.71,1.50,0.0075,0
50,50,2,0.10,compare_to_percentile,10% start,500,7932,5.69,1.57,0.0045,0
50,50,2,0.10,compare_to_percentile,cold start,3150,44423,33.39,1.56,0.0137,0
50,50,2,0.10,compare_to_percentile,rolling deploy,300,3816,3.28,1.17,0.0065,0
50,50,2,0.10,all_rebid,10% start,500,13293,6.01,1.80,0.0056,0
50,50,2,0.10,all_rebid,cold start,3150,77225,34.71,1.55,0.0146,0
50,50,2,0.10,all_rebid,rolling deploy,300,7035,3.78,1.43,0.0065,0
50,50,2,0.20,compare_to_percentile,10% start,500,7692,5.61,1.41,0.0027,0
50,50,2,0.20,compare_to_percentile,cold start,3150,46058,35.08,3.66,0.0141,0
50,50,2,0.20,compare_to_percentile,rolling deploy,300,4188,3.41,1.37,0.0065,0
50,50,2,0.20,all_rebid,10% start,500,12264,5.66,1.45,0.0052,0
50,50,2,0.20,all_rebid,cold start,3150,77319,34.53,1.51,0.0157,0
50,50,2,0.20,all_rebid,rolling deploy,300,6741,3.65,1.45,0.0100,0
50,50,5,0.05,compare_to_percentile,10% start,500,17132,4.51,4.07,0.0039,0
50,50,5,0.05,compare_to_percentile,cold start,3150,153687,66.33,38.17,0.0218,0
50,50,5,0.05,compare_to_percentile,rolling deploy,300,5100,2.39,1.65,0.0075,0
50,50,5,0.05,all_rebid,10% start,500,20998,4.36,4.11,0.0038,0
50,50,5,0.05,all_rebid,cold start,3150,152934,65.31,31.03,0.0198,0
50,50,5,0.05,all_rebid,rolling deploy,300,7434,2.76,1.84,0.0065,0
50,50,5,0.10,compare_to_percentile,10% start,500,13860,3.50,2.52,0.0043,0
50,50,5,0.10,compare_to_percentile,cold start,3150,147994,65.61,30.56,0.0179,0
50,50,5,0.10,compare_to_percentile,rolling deploy,300,4956,2.37,1.58,0.0065,0
50,50,5,0.10,all_rebid,10% start,500,22312,4.96,4.59,0.0038,0
50,50,5,0.10,all_rebid,cold start,3150,142866,61.91,24.83,0.0226,0
50,50,5,0.10,all_rebid,rolling deploy,300,7602,2.89,2.08,0.0084,0
50,50,5,0.20,compare_to_percentile,10% start,500,13448,3.48,2.49,0.0035,0
50,50,5,0.20,compare_to_percentile,cold start,3150,157587,66.24,47.36,0.0196,0
50,50,5,0.20,compare_to_percentile,rolling deploy,300,5112,2.47,1.60,0.0065,0
50,50,5,0.20,all_rebid,10% start,500,20048,6.45,6.35,0.0107,0
50,50,5,0.20,all_rebid,cold start,3150,160826,69.64,30.10,0.0223,0
50,50,5,0.20,all_rebid,rolling deploy,300,7644,2.56,1.80,0.0084,0
100,100,1,0.05,compare_to_percentile,10% start,1000,13008,10.35,1.21,0.0043,0
100,100,1,0.05,compare_to_percentile,cold start,6300,79569,62.89,3.39,0.0164,0
100,100,1,0.05,compare_to_percentile,rolling deploy,500,6204,5.29,1.23,0.0422,0
100,100,1,0.05,all_rebid,10% start,1000,22785,10.88,1.64,0.0043,0
100,100,1,0.05,all_rebid,cold start,6300,154997,73.01,4.20,0.0190,0
100,100,1,0.05,all_rebid,rolling deploy,500,10752,5.52,1.32,0.0501,0
100,100,1,0.10,compare_to_percentile,10% start,1000,12768,10.27,1.23,0.0044,0
100,100,1,0.10,compare_to_percentile,cold start,6300,80450,62.87,3.39,0.0173,0
100,100,1,0.10,compare_to_percentile,rolling deploy,500,6144,5.18,1.17,0.0485,0
100,100,1,0.10,all_rebid,10% start,1000,22092,10.56,1.48,0.0039,0
100,100,1,0.10,all_rebid,cold start,6300,150899,70.83,4.27,0.0177,0
100,100,1,0.10,all_rebid,rolling deploy,500,10941,5.69,1.36,0.0516,0
100,100,1,0.20,compare_to_percentile,10% start,1000,24728,10.52,1.40,0.0033,0
100,100,1,0.20,compare_to_percentile,cold start,6300,238020,111.84,10.90,0.0175,0
100,100,1,0.20,compare_to_percentile,rolling deploy,500,11704,5.73,1.33,0.0095,0
100,100,1,0.20,all_rebid,10% start,1000,49467,16.18,3.74,0.0035,0
100,100,1,0.20,all_rebid,cold start,6300,478360,216.70,26.94,0.0166,0
100,100,1,0.20,all_rebid,rolling deploy,500,21484,7.04,1.72,0.0095,0
100,100,2,0.05,compare_to_percentile,10% start,1000,15540,6.18,2.01,0.0043,0
100,100,2,0.05,compare_to_percentile,cold start,6300,138179,62.68,23.15,0.0179,-1
100,100,2,0.05,compare_to_percentile,rolling deploy,500,7056,3.60,1.48,0.0199,0
100,100,2,0.05,all_rebid,10% start,1000,25011,7.20,2.12,0.0040,0
100,100,2,0.05,all_rebid,cold start,6300,248953,112.36,28.21,0.0187,0
100,100,2,0.05,all_rebid,rolling deploy,500,11739,4.14,1.85,0.0323,0
100,100,2,0.10,compare_to_percentile,10% start,1000,14808,6.24,1.80,0.0046,0
100,100,2,0.10,compare_to_percentile,cold start,6300,133286,57.39,15.64,0.0182,0
100,100,2,0.10,compare_to_percentile,rolling deploy,500,6792,3.57,1.71,0.0357,0
100,100,2,0.10,all_rebid,10% start,1000,26355,8.79,3.16,0.0037,0
100,100,2,0.10,all_rebid,cold start,6300,243042,109.84,29.06,0.0192,0
100,100,2,0.10,all_rebid,rolling deploy,500,11571,4.12,1.91,0.0384,0
100,100,2,0.20,compare_to_percentile,10% start,1000,48341,17.85,13.23,0.0039,0
100,100,2,0.20,compare_to_percentile,cold start,6300,550516,242.61,63.79,0.0191,-20
100,100,2,0.20,compare_to_percentile,rolling deploy,500,13288,4.21,2.00,0.0095,0
100,100,2,0.20,all_rebid,10% start,1000,73469,26.43,18.21,0.0055,-1
100,100,2,0.20,all_rebid,cold start,6300,522160,229.58,48.17,0.0196,-6
100,100,2,0.20,all_rebid,rolling deploy,500,25013,8.03,5.10,0.0095,0
100,100,5,0.05,compare_to_percentile,10% start,1000,680195,242.66,137.33,0.0124,660
100,100,5,0.05,compare_to_percentile,cold start,1270,1270258,300.17,128.17,6.0415,1266
100,100,5,0.05,compare_to_percentile,rolling deploy,1538,1538000,518.38,218.26,0.2294,522
100,100,5,0.05,all_rebid,10% start,1996,1996000,739.72,206.89,0.0099,1000
100,100,5,0.05,all_rebid,cold start,5545,5515566,1056.93,118.00,1.3123,5504
100,100,5,0.05,all_rebid,rolling deploy,720,720114,1156.96,110.07,0.2294,582
100,100,5,0.10,compare_to_percentile,10% start,1290,1290000,1420.28,147.50,0.0102,925
100,100,5,0.10,compare_to_percentile,cold start,5592,5425407,1454.50,156.70,0.2578,5356
100,100,5,0.10,compare_to_percentile,rolling deploy,730,673255,1062.15,115.29,0.1659,484
100,100,5,0.10,all_rebid,10% start,1227,1048153,1209.35,118.39,0.0160,646
100,100,5,0.10,all_rebid,cold start,5776,4998744,554.74,5.74,0.0720,4819
100,100,5,0.10,all_rebid,rolling deploy,500,398595,3.44,3.44,0.1835,395
100,100,5,0.20,compare_to_percentile,10% start,1000,1586688,2.87,1.71,0.0046,790
100,100,5,0.20,compare_to_percentile,cold start,6300,9986780,13.05,1.32,0.0713,4977
100,100,5,0.20,compare_to_percentile,rolling deploy,500,792420,1.22,1.22,0.1607,395
100,100,5,0.20,all_rebid,10% start,1000,1590619,2.91,1.90,0.0035,790
100,100,5,0.20,all_rebid,cold start,6300,10035257,28.37,13.84,0.0678,4977
100,100,5,0.20,all_rebid,rolling deploy,500,794428,1.69,1.69,0.1648,395
