numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
25,25,1,0.05,compare_to_percentile,10% start,250,3096,8.69,0.94,0.0022,0
25,25,1,0.05,compare_to_percentile,cold start,1574,19164,54.29,0.98,0.0168,0
25,25,1,0.05,compare_to_percentile,rolling deploy,200,2424,7.02,0.90,0.0074,0
25,25,1,0.05,all_rebid,10% start,250,5271,8.82,1.08,0.0052,0
25,25,1,0.05,all_rebid,cold start,1574,33474,54.54,1.00,0.0156,0
25,25,1,0.05,all_rebid,rolling deploy,200,4221,7.14,0.92,0.0052,0
25,25,1,0.10,compare_to_percentile,10% start,250,3036,8.78,0.91,0.0044,0
25,25,1,0.10,compare_to_percentile,cold start,1574,19152,54.59,1.06,0.0126,0
25,25,1,0.10,compare_to_percentile,rolling deploy,200,2424,6.98,0.91,0.0052,0
25,25,1,0.10,all_rebid,10% start,250,5481,8.84,1.00,0.0054,0
25,25,1,0.10,all_rebid,cold start,1574,33285,54.54,1.01,0.0122,0
25,25,1,0.10,all_rebid,rolling deploy,200,4221,7.04,0.92,0.0074,0
25,25,1,0.20,compare_to_percentile,10% start,250,3156,8.74,0.97,0.0050,0
25,25,1,0.20,compare_to_percentile,cold start,1574,19104,54.38,1.08,0.0101,0
25,25,1,0.20,compare_to_percentile,rolling deploy,200,2400,7.02,0.91,0.0074,0
25,25,1,0.20,all_rebid,10% start,250,5481,8.77,1.01,0.0054,0
25,25,1,0.20,all_rebid,cold start,1574,33579,54.62,1.13,0.0194,0
25,25,1,0.20,all_rebid,rolling deploy,200,4221,7.07,0.98,0.0052,0
25,25,2,0.05,compare_to_percentile,10% start,250,3312,4.41,0.91,0.0045,0
25,25,2,0.05,compare_to_percentile,cold start,1574,19752,27.59,1.03,0.0171,0
25,25,2,0.05,compare_to_percentile,rolling deploy,200,2424,3.55,0.91,0.0052,0
25,25,2,0.05,all_rebid,10% start,250,5775,4.44,0.92,0.0031,0
25,25,2,0.05,all_rebid,cold start,1574,34482,27.66,1.02,0.0165,0
25,25,2,0.05,all_rebid,rolling deploy,200,4284,3.55,0.91,0.0074,0
25,25,2,0.10,compare_to_percentile,10% start,250,3276,4.46,1.02,0.0041,0
25,25,2,0.10,compare_to_percentile,cold start,1574,19776,27.61,1.02,0.0122,0
25,25,2,0.10,compare_to_percentile,rolling deploy,200,2448,3.59,0.96,0.0074,0
25,25,2,0.10,all_rebid,10% start,250,5607,4.41,0.91,0.0030,0
25,25,2,0.10,all_rebid,cold start,1574,33789,27.62,0.92,0.0143,0
25,25,2,0.10,all_rebid,rolling deploy,200,4305,3.56,0.91,0.0052,0
25,25,2,0.20,compare_to_percentile,10% start,250,3288,4.39,0.91,0.0050,0
25,25,2,0.20,compare_to_percentile,cold start,1574,19560,27.49,1.02,0.0118,0
25,25,2,0.20,compare_to_percentile,rolling deploy,200,2436,3.56,0.91,0.0074,0
25,25,2,0.20,all_rebid,10% start,250,5565,4.44,0.91,0.0022,0
25,25,2,0.20,all_rebid,cold start,1574,33978,27.51,0.96,0.0179,0
25,25,2,0.20,all_rebid,rolling deploy,200,4326,3.54,0.92,0.0052,0
25,25,5,0.05,compare_to_percentile,10% start,250,4572,1.83,0.93,0.0041,0
25,25,5,0.05,compare_to_percentile,cold start,1574,23388,11.36,1.12,0.0129,0
25,25,5,0.05,compare_to_percentile,rolling deploy,200,2724,1.77,0.93,0.0000,0
25,25,5,0.05,all_rebid,10% start,250,8127,1.88,0.98,0.0045,0
25,25,5,0.05,all_rebid,cold start,1574,36477,11.38,1.06,0.0153,0
