numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
25,25,1,0.05,compare_to_percentile,10% start,250,3060,8.80,0.92,0.0022,0
25,25,1,0.05,compare_to_percentile,cold start,1574,19164,54.33,0.93,0.0189,0
25,25,1,0.05,compare_to_percentile,rolling deploy,200,2412,6.96,0.91,0.0052,0
25,25,1,0.05,all_rebid,10% start,250,5313,8.72,0.95,0.0022,0
25,25,1,0.05,all_rebid,cold start,1574,33558,54.54,0.93,0.0162,0
25,25,1,0.05,all_rebid,rolling deploy,200,4200,7.01,0.91,0.0052,0
25,25,1,0.10,compare_to_percentile,10% start,250,3048,8.69,0.92,0.0039,0
25,25,1,0.10,compare_to_percentile,cold start,1574,19128,54.53,0.95,0.0153,0
25,25,1,0.10,compare_to_percentile,rolling deploy,200,2460,6.99,0.94,0.0052,0
25,25,1,0.10,all_rebid,10% start,250,5397,8.80,0.93,0.0039,0
25,25,1,0.10,all_rebid,cold start,1574,33516,54.50,1.05,0.0159,0
25,25,1,0.10,all_rebid,rolling deploy,200,4242,7.06,0.93,0.0074,0
25,25,1,0.20,compare_to_percentile,10% start,250,3204,8.77,0.94,0.0030,0
25,25,1,0.20,compare_to_percentile,cold start,1574,19068,54.33,1.00,0.0126,0
25,25,1,0.20,compare_to_percentile,rolling deploy,200,2448,6.97,0.91,0.0074,0
25,25,1,0.20,all_rebid,10% start,250,5292,8.96,0.92,0.0039,0
25,25,1,0.20,all_rebid,cold start,1574,33348,54.66,1.03,0.0147,0
25,25,1,0.20,all_rebid,rolling deploy,200,4221,7.04,0.91,0.0074,0
25,25,2,0.05,compare_to_percentile,10% start,250,3516,4.43,0.92,0.0052,0
25,25,2,0.05,compare_to_percentile,cold start,1574,19524,27.62,0.93,0.0213,0
25,25,2,0.05,compare_to_percentile,rolling deploy,200,2436,3.55,0.91,0.0052,0
25,25,2,0.05,all_rebid,10% start,250,5670,4.43,0.91,0.0050,0
25,25,2,0.05,all_rebid,cold start,1574,34125,27.56,0.92,0.0085,0
25,25,2,0.05,all_rebid,rolling deploy,200,4326,3.55,0.93,0.0074,0
25,25,2,0.10,compare_to_percentile,10% start,250,3348,4.45,0.93,0.0022,0
25,25,2,0.10,compare_to_percentile,cold start,1574,19992,27.54,0.97,0.0150,0
